"abs(DATEDIFF(order_purchase_timestamp,order_delivered_customer_date))",Year
6,2016
44,2016
31,2016
12,2016
NULL,2016
8,2016
17,2016
41,2016
19,2016
33,2016
32,2016
20,2016
27,2016
13,2016
28,2016
7,2016
30,2016
9,2016
15,2016
14,2016
48,2016
70,2016
22,2016
45,2016
21,2016
25,2016
36,2016
11,2016
18,2016
10,2016
24,2016
34,2016
16,2016
55,2016
26,2016
4,2016
52,2016
23,2016
56,2016
37,2016
42,2016
40,2016
49,2016
5,2016
35,2016
43,2016
65,2016
69,2016
13,2017
8,2017
5,2017
20,2017
31,2017
9,2017
7,2017
6,2017
10,2017
19,2017
34,2017
77,2017
NULL,2017
18,2017
11,2017
12,2017
37,2017
17,2017
29,2017
3,2017
21,2017
14,2017
23,2017
15,2017
24,2017
22,2017
25,2017
4,2017
26,2017
48,2017
16,2017
41,2017
39,2017
27,2017
2,2017
33,2017
38,2017
28,2017
50,2017
30,2017
1,2017
32,2017
63,2017
42,2017
35,2017
209,2017
68,2017
36,2017
46,2017
55,2017
43,2017
139,2017
40,2017
45,2017
51,2017
57,2017
106,2017
75,2017
47,2017
44,2017
53,2017
59,2017
54,2017
52,2017
61,2017
76,2017
65,2017
60,2017
66,2017
49,2017
84,2017
71,2017
56,2017
69,2017
131,2017
173,2017
67,2017
64,2017
73,2017
125,2017
107,2017
187,2017
186,2017
96,2017
195,2017
145,2017
105,2017
58,2017
183,2017
142,2017
175,2017
98,2017
194,2017
70,2017
188,2017
62,2017
101,2017
103,2017
100,2017
72,2017
91,2017
138,2017
167,2017
82,2017
181,2017
146,2017
80,2017
0,2017
110,2017
108,2017
116,2017
102,2017
79,2017
166,2017
93,2017
86,2017
104,2017
172,2017
81,2017
74,2017
132,2017
135,2017
119,2017
133,2017
168,2017
78,2017
190,2017
143,2017
117,2017
174,2017
165,2017
3,2018
16,2018
17,2018
5,2018
14,2018
11,2018
10,2018
22,2018
19,2018
9,2018
28,2018
12,2018
4,2018
7,2018
8,2018
37,2018
15,2018
6,2018
38,2018
47,2018
24,2018
2,2018
NULL,2018
25,2018
13,2018
18,2018
21,2018
27,2018
46,2018
35,2018
23,2018
1,2018
36,2018
31,2018
41,2018
32,2018
26,2018
20,2018
48,2018
60,2018
85,2018
34,2018
30,2018
57,2018
63,2018
64,2018
29,2018
42,2018
33,2018
43,2018
54,2018
51,2018
80,2018
50,2018
44,2018
58,2018
40,2018
39,2018
49,2018
53,2018
68,2018
45,2018
75,2018
62,2018
66,2018
71,2018
52,2018
87,2018
56,2018
76,2018
61,2018
55,2018
72,2018
59,2018
108,2018
70,2018
89,2018
100,2018
65,2018
86,2018
69,2018
67,2018
96,2018
88,2018
81,2018
79,2018
84,2018
90,2018
169,2018
101,2018
74,2018
148,2018
126,2018
92,2018
73,2018
105,2018
78,2018
98,2018
94,2018
77,2018
107,2018
83,2018
109,2018
130,2018
137,2018
209,2018
110,2018
131,2018
143,2018
103,2018
191,2018
