"product_category_name";"review_score";"count(review_id)"
"cama_mesa_banho";5;7954
"moveis_decoracao";5;7308
"beleza_saude";5;7080
"esporte_lazer";5;6269
"utilidades_domesticas";5;5747
"informatica_acessorios";5;5648
"ferramentas_jardim";5;3982
"relogios_presentes";5;3699
"brinquedos";5;2879
"automotivo";5;2838
"telefonia";5;2606
"perfumaria";5;2587
"cool_stuff";5;2515
"bebes";5;1985
"papelaria";5;1838
"eletronicos";5;1754
"pet_shop";5;1531
"fashion_bolsas_e_acessorios";5;1426
"moveis_escritorio";5;1038
"construcao_ferramentas_construcao";5;897
"malas_acessorios";5;796
"consoles_games";5;702
"instrumentos_musicais";5;499
"eletrodomesticos";5;492
"eletroportateis";5;478
"livros_interesse_geral";5;468
"casa_construcao";5;449
"bebidas";5;395
"alimentos";5;383
"moveis_sala";5;334
"casa_conforto";5;315
"construcao_ferramentas_iluminacao";5;279
"alimentos_bebidas";5;274
"sinalizacao_e_seguranca";5;246
"fashion_calcados";5;213
"climatizacao";5;213
"market_place";5;212
"audio";5;203
"construcao_ferramentas_jardim";5;201
"livros_tecnicos";5;196
"industria_comercio_e_negocios";5;174
"moveis_cozinha_area_de_servico_jantar_e_jardim";5;173
"construcao_ferramentas_seguranca";5;166
"pcs";5;164
"agro_industria_e_comercio";5;164
"telefonia_fixa";5;163
"eletrodomesticos_2";5;137
"artigos_de_natal";5;123
"artes";5;114
"fashion_underwear_e_moda_praia";5;95
"fashion_roupa_masculina";5;92
"moveis_quarto";5;89
"construcao_ferramentas_ferramentas";5;78
"cine_foto";5;67
"livros_importados";5;60
"portateis_casa_forno_e_cafe";5;52
"tablets_impressao_imagem";5;49
"dvds_blu_ray";5;45
"flores";5;25
"musica";5;24
"artigos_de_festas";5;23
"fashion_roupa_feminina";5;22
"moveis_colchao_e_estofado";5;19
"fashion_esporte";5;18
"casa_conforto_2";5;16
"artes_e_artesanato";5;16
"fraldas_higiene";5;12
"cds_dvds_musicais";5;12
"la_cuisine";5;9
"fashion_roupa_infanto_juvenil";5;9
